,author,comment,likeCount,publishedAt
0,@AnteiEldamir,"These streams are some of my favorites!  I've never played WoW (I've only seen the movie and played Hearthstone, old times), so thanks to you I'm discovering how interesting this world is! Listening to you talk is the best part of your streams! ",0,2025-07-19T20:24:25Z
1,@Olie_0415,OTSU Zeepaw Thanks for being that kind of unexpectedly lovable presence again ,0,2025-07-18T05:11:18Z
2,@MAYU_0616,"Thank you for your hard work!
Thank you for taking the time to chat with me. I love you so much, so please forgive me if I send you crazy love messages from time to time. But you always accept me kindly, and with each passing day, I find myself falling more and more in love with you. I am always grateful to you. I love you, sweetheart.",0,2025-07-18T00:12:36Z
3,@andita2708,"Done watching!! Omg I was missing this stream. Why i don't get any notif lol😂

Anyway otsu Zeal, see you on another..video",0,2025-07-17T18:21:45Z
4,@NinaMarieNPianoKeys,Otsu,0,2025-07-17T14:57:50Z
5,@nekoninja95,"Otsu  i always saw ads, but stood away because i was kind of u sure if id like it, this seems like.something i would play, but for now i enjoy watching you play, since its something you love ",0,2025-07-17T09:40:00Z
6,@李怡霏-r7r,Otsu!💚🐍,0,2025-07-17T07:54:58Z
7,@lateesleeper,"Otsu zeal! Today stream was so much fun, like it's genuinely makes me want to play it too  and I better takes more detailed notes after this because I aint failing the pop quiz ",0,2025-07-17T07:47:53Z
8,@hine-is-delulu,being with you in public just like riding a roller coaster man  we lmao-ed and then we took a wow course and then we yapped i love it alot  thank you for a fun stream and please never stop being old thanksss,2,2025-07-17T07:45:37Z
9,@izuzuchan,"OtsuZeal! 
Partial VOD gang (I'm always amused when I fall asleep to a stream and wake up to...a stream ) It's been a lot of fun watching you play WoW! I played when I was younger so it feels super nostalgic, though I dunno if I have the strength to pick it back up again 
Hope you rest well and see you next stream! ",0,2025-07-17T07:45:07Z
10,@_yxki_,"otsu zeal 
thank you for another fun wow stream ! I learnt so much and it was nice seeing you play something that you love  Zeepaw was super cute as well ! rest well and see you later~",0,2025-07-17T07:42:08Z
11,@metalchick5296,"Thank you for such a fun stream, Im so happy Zerpents are getting invested in a game that I grew up on almost all my life as a gamer! I loved helping talk about the lore and hearing your stances on each story! Hearing you talk about something you love so much makes me so happy, and I bet others feel the same way too! I may be Alliance aligned, but I'll always happily be your Zerpent. I can't wait to hear about other things you also enjoy too, and patiently await a fun WoW fishing stream with everyone one day. Love you, rest well! Muah",0,2025-07-17T07:42:02Z
12,@furukawahime,"OtsuZeal 
Thank you for the cozy WOW stream. It's just soo much fun to listen to you yapping about your favorite things, I can literally be here for hours and hours (pretty much watching the stream today even I'm at work um)
Looking forward for kansai ben stream today! I won't survive your kansai ben, but  YAYYY 
19:50 not the duh, I'm shocked lmaoo",0,2025-07-17T07:42:00Z
13,@pumpkinpopstar,Oh it’s been far too long since I’ve seen this game. Thank you so much for the stream Mr. Ginjoka,2,2025-07-17T07:41:58Z
14,@weilinouo95,Otsuzeepaw for the fun stream!! You nerdging out about WoW really got me interested!! Waoo  Gonna check out the VODs to do my homework before starting with the trial first  *ahem* but definitely with you for the horde heheh,1,2025-07-17T07:41:42Z
