,index,translated_comments
0,-MXqW3SpFQY,"['Hey venruki, pirate software is a gay furry lmao']"
1,0F28zkCrcw8,"['There are people that are into fat... because this dude was about your hatcut.', 'wtf are these comments lol, anyway we love you venruki']"
2,2o7j4nkCvPE,"['Are you on that sniff sniff bro, you are so skinny', 'Press the button already', ""Ill unsub if he doesn't grow it back"", 'the red joker', 'Artificial attachment', ""sup bajherera, in the mage in second bg flameart, just wanted to say it was super nostalgic having you back wrecking bg's in mop."", 'I - i will go ret paladin and I am an average player. What comp do you have with me in arena in mop so that you include a network where it looks strong?', 'Bro where your bear at ? need some more hair in your face which ? <3 would like to see you full (b)-(g)-eared', 'So nice to watch you again... i guess in ""know"" and now for more than 10 years...that crazy', 'Can you upload some short videos? :d to click within 6h without any time stamps isnt that nice.', ""I'm pushing full crrit Gems on arms warior and the meta Gem is the one that's in your warior's helmet now. so can you or someone else link or maybe write down wod legion bfa df ww additions for arms warior and hate pvp talent what states exactly are needed.""]"
3,44dnlCKZv5o,"['What addon are you using at the first when stream just started, thank you!', ""In reference to what you had mentioned in the stream. for many wow based Creators out there, myself included, you were one of the first I stemmed up that helped me start the journal of living different characters and experiencing way in a different perspective. pretty sure one of not, the first to really high light a living journal from beginning to end and that simple concept of taking the let's play formula when embracing where a blast is. your definitely one of the originals and I appreciate your perspective and dedication to thecraft rambles, so thanks you!"", 'the goblin selling the sheepder is in the Northeast tip of tanaris jabbey is his name', ""good ran pretty much up some of my feelings, happy watching y play classic though even if layout won't let me in game lol when you mentioned hc kid got me thinking it would be found to do it again... course, subsequently it's the best""]"
4,4ETIBzLkMiI,"['Thank you for looking at this livestream, because it has been fun! but you would just like to recommend this to your client :)']"
5,4akm82U_iiY,['The stupidest server ever.']
6,5FXzuz-Qsxc,"[""In digging the mop playthrough. in played all of the original wow through bc and returned during covid to wow classic. so im expressing mop through your vods. wouldn't mind a bit more info on your planning for the tone. like what you earn you are going for or a bit more guided run and search. keep it up!""]"
7,5_27s37ldBQ,"[""If you have any ideas for future buildings let me know! thank you for the great built idea! so, I have quit the backlog: demons's suns, black myth wuking, read of p and fill of other games. if you want to see any of these other games, let me know!""]"
8,6Io4b2ED3cw,"[""Are you interested in watching project Epoch's stillborn child in the intensive which unit?""]"
9,8-q6fAyp-fE,"[""Hello, good fun, bg and arena when you're going to go in to pvp""]"
10,9-HR3SCdJ6k,"['Shame about the drama, but cool to see a Shaman tank quite effectively. you should do more of it!', ""This is why rfk group picked you up as a tank. not saying ashaman as a tank makes sense, but it's probably what that previous bfd group had in the description and blizz sucks so it carried over when you re-listed yourself""]"
11,A-lWX6bFv94,"['No bear is crazy!', 'You in prep or just do a show? look better', 'Any big difference with retail and classic pvp?', 'You are another person, lose your pvp power with that change?', 'Where is your mouse? please grow it back!']"
