,title,publishedAt,channelName,duration,viewCount,likeCount,commentCount,comments
zKaVhjyvWcU,World of Warcraft рейд фарм,2025-08-20,Twister Play,906.0,2.0,0.0,0.0,[]
19MTyIZyfhM,"✨ Discovering Manaforge Omega – No Rush, Just Warcraft",2025-08-20,Hamza Munir,1009.0,4.0,0.0,0.0,[]
TOz7hHSR-bo,world of warcraft ascension #fyp #gaming #viral #worldofwarcraft #privateserver #subscribe #youtube,2025-08-20,darkLaUGHs,257.0,1.0,0.0,0.0,[]
Rri1LeBOqXU,world of warcraft ascension #fyp #gaming #viral #worldofwarcraft #privateserver #subscribe #youtube,2025-08-20,darkLaUGHs,430.0,2.0,0.0,0.0,[]
fWh-aAK9uUg,Ghosts Of Karesh - The Final Battle - World Of Warcraft,2025-08-20,Zachs Vlogs TV,637.0,44.0,0.0,0.0,[]
rQ17Mcw6T8M,[GXP] world of warcraft - manaforge - normal - loveanaga,2025-08-20,Kamyak Addagatla,337.0,0.0,0.0,0.0,[]
xIAbosWGlOU,Testing World of Warcraft Stream,2025-08-20,Qais Shishani,750.0,1.0,0.0,0.0,[]
g247_4H8mOU,"World of Warcraft - Продолжаем Хардкор, Трай 9, День 28!",2025-08-20,Mr.Secretive,386.0,1.0,0.0,0.0,[]
_E642Ckwg04,World of Warcraft Stream Test,2025-08-20,zuniversa,366.0,1.0,0.0,0.0,[]
WVHxxBNvEww,World of Warcraft Stream Test,2025-08-20,zuniversa,771.0,2.0,0.0,0.0,[]
2icHykdR2R8,World of Warcraft Stream Test,2025-08-20,zuniversa,644.0,4.0,0.0,0.0,[]
WYyjJHV2Ydo,"MomaxVII -  This is World of Warcraft Keys , Drops on.",2025-08-19,Momax VII,278.0,10.0,4.0,0.0,[]
xLmYY5mypC4,World of Warcraft | Last Boss Dimensius| Elemental Shaman PoV,2025-08-19,Ragnar,1109.0,182.0,1.0,0.0,[]
pmMmYqgsxZw,WoW Classic HardCore. S-evil.ru.,2025-08-19,Doka2Player,509.0,5.0,0.0,0.0,[]
-1TDlpJfhLA,LIVE - World Of Warcraft Classic 2025 First Time Player - NEW LEADER OF THE ALLIANCE PART 32 PART 2,2025-08-19,UltimateYumYum ,1140.0,21.0,2.0,0.0,[]
IAJhKe4S1Rc,Ghost of Karesh / Sezon 3 /uuryaan 684 Shadow - Disc priest,2025-08-19,uuryaan,300.0,11.0,0.0,0.0,[]
wOdnb3fDH-c,Chadzelaaaa Live Stream Just Chilling,2025-08-19,Chadzelaaaa,305.0,0.0,0.0,0.0,[]
VhINJJQwLek,Hunting Demons in World of Warcraft: The War WIthin,2025-08-19,Etheraeon,1083.0,0.0,0.0,0.0,[]
t2vgYw-Mm5k,🡲Heroic Forja de Maná Omega: El despertar de Dimensius🔴-🔴 #warcraft #thewarwithin #gaming,2025-08-18,Zaki Shen,991.0,82.0,3.0,0.0,[]
0hX_sjUTKXk,For Love Eternal,2025-08-18,MICROBUSERO,727.0,1.0,0.0,0.0,[]
eMrY5IIyOtg,World of Warcraft 直播,2025-08-18,BiYuan Liu,930.0,0.0,0.0,0.0,[]
lm_EITsnkns,Ein Fehler = Tod! WoW Classic Hardcore – Schaffe ich es zu Level 60? | 14,2025-08-18,TobiPixel,315.0,33.0,0.0,0.0,[]
rvBtcxvKEb4,WoW Türkiye Yayını  Legion Yeni Sezon Key Takılmaca,2025-08-18,Cem  Akyürek,643.0,19.0,0.0,0.0,[]
